	Total Calories	Grains in Ounces	Vegetables in Cups	Fruits in Cups	Dairy in Cups	Protein Foods in Ounces	Oils in Teaspoons	Protein in Grams	% of Calories from Protein	Carbohydrate in Grams	% of Calories from Carbohydrate	Dietary Fiber in Grams	Total Sugars in Grams	Added Sugars in Grams	% of Calories from Added Sugars	Total Fat (% Calories Eaten )	Saturated Fat in Grams	% of Calories from Saturated Fat	Monounsaturated Fat in Grams	Polyunsaturated Fat in Grams	Linoleic Acid in Grams	 - Linolenic Acid in Grams	Omega 3- EPA in Milligrams	Omega 3- DHA in Milligrams	Cholesterol in Milligrams	Calcium in Milligrams	Potassium in Milligrams	Sodium in Milligrams	Copper in Micrograms	Iron in Milligrams	Magnesium in Milligrams	Phosphorus in Milligrams	Selenium in Micrograms	Zinc in Milligrams	Vitamin A in Micrograms RAE	Vitamin B6 in Milligrams	Vitamin B12 in Micrograms	Vitamin C in Milligrams	Vitamin D in Micrograms	Vitamin E in Milligrams AT	Vitamin K in Micrograms	Folate in Micrograms DFE	Thiamin in Milligrams	Riboflavin in Milligrams	Niacin in Milligrams	Choline in Milligrams
02/15/17	843	5.0	0.5	0.0	0.0	6.0	0.0	60	28	112	53	2	0	0	0	16	5	6	6	2	2	0.1	0	0	138	71	961	878	404	6	106	674	109	5	44	1.5	1.1	9	1	0	9	392	1.6	0.5	21	139
02/16/17	727	4.5	1.75	0.0	0.0	3.0	0.0	31	17	134	74	8	6	0	0	9	2	2	1	2	2	0.2	0	3	45	76	661	724	436	4	68	226	32	3	80	0.4	0.0	18	0	1	18	280	0.5	0.1	6	25
02/17/17	730	5.0	1.75	0.0	0.0	0.0	2.0	18	10	140	77	10	7	0	0	14	2	2	4	5	4	0.7	0	0	0	159	928	490	599	7	115	318	31	3	464	0.9	0.1	51	0	3	183	446	0.8	0.3	7	63
02/18/17	508	3.5	0.5	0.5	0.0	1.5	1.0	21	16	79	63	2	15	1	1	18	3	5	4	3	3	0.3	0	28	194	146	218	433	209	4	39	248	43	2	78	0.4	0.5	0	1	1	4	235	0.6	0.4	6	150
02/19/17	853	6.0	0.0	0.0	0.0	2.5	0.0	32	15	140	66	2	2	0	0	17	5	6	6	3	3	0.2	0	44	307	176	457	695	483	8	88	466	73	4	174	0.7	0.9	8	2	1	9	515	1.0	0.5	10	238
02/20/17	818	5.0	1.25	0.0	0.5	2.0	1.0	33	16	137	67	9	7	1	0	15	3	4	5	4	3	0.6	0	2	56	146	960	970	554	7	118	408	46	4	339	0.9	0.7	24	0	3	122	389	0.7	0.3	10	96
02/21/17	214	2.0	0.5	0.0	0.25	0.0	0.0	5	9	46	86	1	0	0	0	2	0	1	0	0	0	0.0	0	0	0	16	55	5	109	2	19	68	12	1	0	0.1	0.0	0	0	0	0	152	0.3	0.0	2	3
02/22/17	2720	5.0	1.75	0.0	0.0	1.0	1.0	61	9	564	83	12	5	0	0	6	4	1	6	5	4	0.7	0	28	181	375	1347	383	1511	26	277	1011	161	11	413	2.2	0.4	54	1	3	115	1950	3.2	0.6	29	211
02/23/17	586	3.0	0.75	1.0	0.0	1.0	2.0	14	9	104	71	1	40	13	9	18	2	3	4	5	4	0.8	0	4	37	106	226	232	229	3	39	191	26	2	19	0.3	0.2	1	0	1	8	192	0.5	0.2	5	39
02/24/17	699	4.0	1.0	0.0	0.0	1.0	0.0	25	14	130	75	8	15	2	1	9	3	3	2	1	1	0.2	0	0	29	172	1524	1709	468	6	174	319	41	3	15	0.5	1.0	15	0	1	15	254	0.6	0.4	6	82
02/25/17	399	3.0	1.25	0.0	0.25	0.0	1.0	11	11	79	79	4	4	0	0	10	1	2	1	2	2	0.2	0	0	0	58	754	325	412	4	44	189	19	2	104	0.7	0.4	12	0	2	34	257	0.6	0.1	4	14
02/26/17	1528	8.5	1.75	0.0	0.5	5.5	3.0	76	20	235	62	10	9	0	0	15	6	4	11	7	6	1.0	0	0	130	226	1815	978	947	13	208	860	135	8	623	2.1	1.0	47	1	4	230	810	2.4	0.7	24	213
02/27/17	1818	3.5	1.0	0.0	0.0	6.0	3.0	72	16	291	64	6	3	0	0	15	6	3	11	9	8	1.0	7	14	215	274	1220	1783	907	15	170	754	123	9	218	1.8	0.8	40	0	3	82	1041	1.9	0.7	24	127
02/28/17	582	4.0	0.75	0.0	0.0	1.0	0.0	22	15	111	76	4	6	0	0	6	1	2	1	1	1	0.1	0	0	32	49	487	1562	351	5	72	296	42	3	6	0.6	0.3	4	0	0	2	336	0.8	0.2	9	53
03/01/17	850	6.0	0.0	0.0	0.5	3.0	1.0	38	18	141	66	2	1	0	0	13	3	3	4	3	3	0.3	2	31	244	90	477	959	440	7	84	453	73	4	84	1.0	0.6	0	1	1	4	489	0.9	0.4	13	182
03/02/17	1464	8.5	1.25	0.0	1.25	3.5	1.0	81	22	218	60	11	41	80	22	11	5	3	6	6	4	0.5	60	157	239	552	1768	2685	1120	10	239	730	94	5	262	1.1	4.0	12	5	2	24	541	1.0	1.0	12	283
03/03/17	1551	2.5	2.25	0.0	0.0	1.0	1.0	43	11	276	71	15	9	50	13	8	2	1	4	5	4	0.6	0	2	28	169	1999	725	1102	12	152	595	71	7	290	1.9	0.8	30	0	5	94	828	1.7	0.6	16	68
03/04/17	821	5.0	0.75	0.0	0.0	1.5	1.0	31	15	107	52	3	15	10	5	12	2	3	4	3	3	0.3	0	28	189	74	527	671	390	5	53	274	39	3	93	0.6	0.5	4	1	2	10	331	0.6	0.3	5	132
03/05/17	1053	6.0	1.75	0.0	0.0	3.0	1.0	50	19	177	67	8	54	25	10	14	4	3	6	4	3	0.3	0	0	2	207	1705	1226	752	6	81	432	32	4	76	5.8	5.5	52	0	4	15	386	1.1	1.7	28	21
03/06/17	622	3.0	0.0	1.0	2.0	3.0	0.0	34	22	72	46	1	21	0	0	6	1	1	1	1	1	0.1	3	5	83	59	1100	446	267	3	85	322	40	2	32	1.0	0.2	124	0	1	1	242	0.6	0.6	13	97
03/07/17	1517	7.5	2.75	0.0	0.0	1.0	1.0	122	32	197	52	12	11	0	0	13	5	3	7	8	7	0.8	29	58	246	211	2950	1043	1355	14	215	1244	133	10	121	3.5	2.0	11	1	6	43	691	1.7	0.7	51	290
03/08/17	716	6.5	0.25	0.0	0.0	1.5	0.0	28	16	138	77	4	3	0	0	4	1	1	1	1	0	0.1	1	1	46	71	584	709	389	5	79	336	53	3	408	0.8	0.2	7	0	1	23	325	0.8	0.4	10	62
03/09/17	1823	3.0	1.5	0.0	0.0	4.5	0.0	56	12	280	61	10	11	0	0	19	14	7	14	9	2	0.4	0	0	82	194	1554	2027	1007	11	121	520	68	7	224	1.6	0.7	46	0	4	41	822	1.6	0.3	13	25
